event_time,meter_id,global_active_power
2009-07-10 03:07:00,M001,0.286
2009-07-10 03:08:00,M002,0.286
2009-07-10 03:09:00,M003,0.242
2009-07-10 03:10:00,M004,0.22
2009-07-10 03:11:00,M005,0.22
2009-07-10 03:12:00,M006,0.22
2009-07-10 03:13:00,M007,0.22
2009-07-10 03:14:00,M008,0.22
2009-07-10 03:15:00,M009,0.77
2009-07-10 03:16:00,M010,0.77
2009-07-10 03:17:00,M011,0.77
2009-07-10 03:18:00,M012,0.77
2009-07-10 03:19:00,M013,0.77
2009-07-10 03:20:00,M014,0.77
2009-07-10 03:21:00,M015,0.763
2009-07-10 03:22:00,M016,0.763
2009-07-10 03:23:00,M001,0.176
2009-07-10 03:24:00,M002,0.146
2009-07-10 03:25:00,M003,0.214
2009-07-10 03:26:00,M004,0.256
2009-07-10 03:27:00,M005,0.252
2009-07-10 03:28:00,M006,0.252
2009-07-10 03:29:00,M007,0.25
2009-07-10 03:30:00,M008,0.248
2009-07-10 03:31:00,M009,0.861
2009-07-10 03:32:00,M010,0.861
2009-07-10 03:33:00,M011,0.854
2009-07-10 03:34:00,M012,0.847
2009-07-10 03:35:00,M013,0.847
2009-07-10 03:36:00,M014,0.84
2009-07-10 03:37:00,M015,0.84
2009-07-10 03:38:00,M016,0.84
2009-07-10 03:39:00,M001,0.24
2009-07-10 03:40:00,M002,0.24
2009-07-10 03:41:00,M003,0.238
2009-07-10 03:42:00,M004,0.282
2009-07-10 03:43:00,M005,0.848
2009-07-10 03:44:00,M006,0.868
2009-07-10 03:45:00,M007,0.902
2009-07-10 03:46:00,M008,0.914
2009-07-10 03:47:00,M009,2.639
2009-07-10 03:48:00,M010,0.77
2009-07-10 03:49:00,M011,0.763
2009-07-10 03:50:00,M012,0.756
2009-07-10 03:51:00,M013,0.756
2009-07-10 03:52:00,M014,0.756
2009-07-10 03:53:00,M015,0.749
2009-07-10 03:54:00,M016,0.7
2009-07-10 03:55:00,M001,0.144
2009-07-10 03:56:00,M002,0.144
2009-07-10 03:57:00,M003,0.144
2009-07-10 03:58:00,M004,0.144
2009-07-10 03:59:00,M005,0.144
2009-07-10 04:00:00,M006,0.144
2009-07-10 04:01:00,M007,0.144
2009-07-10 04:02:00,M008,0.144
2009-07-10 04:03:00,M009,0.504
2009-07-10 04:04:00,M010,0.504
2009-07-10 04:05:00,M011,0.504
2009-07-10 04:06:00,M012,0.504
2009-07-10 04:07:00,M013,0.504
2009-07-10 04:08:00,M014,0.504
2009-07-10 04:09:00,M015,0.504
2009-07-10 04:10:00,M016,0.875
2009-07-10 04:11:00,M001,0.256
2009-07-10 04:12:00,M002,0.254
2009-07-10 04:13:00,M003,0.252
2009-07-10 04:14:00,M004,0.25
2009-07-10 04:15:00,M005,0.25
2009-07-10 04:16:00,M006,0.248
2009-07-10 04:17:00,M007,0.246
2009-07-10 04:18:00,M008,0.244
2009-07-10 04:19:00,M009,0.854
2009-07-10 04:20:00,M010,0.847
2009-07-10 04:21:00,M011,0.847
2009-07-10 04:22:00,M012,0.847
2009-07-10 04:23:00,M013,0.84
2009-07-10 04:24:00,M014,0.84
2009-07-10 04:25:00,M015,0.84
2009-07-10 04:26:00,M016,0.84
2009-07-10 04:27:00,M001,0.21
2009-07-10 04:28:00,M002,0.202
2009-07-10 04:29:00,M003,0.224
2009-07-10 04:30:00,M004,0.224
2009-07-10 04:31:00,M005,0.222
2009-07-10 04:32:00,M006,0.22
2009-07-10 04:33:00,M007,0.22
2009-07-10 04:34:00,M008,0.218
2009-07-10 04:35:00,M009,0.756
2009-07-10 04:36:00,M010,0.756
2009-07-10 04:37:00,M011,0.749
2009-07-10 04:38:00,M012,0.749
2009-07-10 04:39:00,M013,0.749
2009-07-10 04:40:00,M014,0.609
2009-07-10 04:41:00,M015,0.504
2009-07-10 04:42:00,M016,0.504
2009-07-10 04:43:00,M001,0.144
2009-07-10 04:44:00,M002,0.144
2009-07-10 04:45:00,M003,0.144
2009-07-10 04:46:00,M004,0.144
2009-07-10 04:47:00,M005,0.146
2009-07-10 04:48:00,M006,0.144
2009-07-10 04:49:00,M007,0.254
2009-07-10 04:50:00,M008,0.186
2009-07-10 04:51:00,M009,0.504
2009-07-10 04:52:00,M010,0.504
2009-07-10 04:53:00,M011,0.504
2009-07-10 04:54:00,M012,0.763
2009-07-10 04:55:00,M013,0.889
2009-07-10 04:56:00,M014,0.875
2009-07-10 04:57:00,M015,0.875
2009-07-10 04:58:00,M016,0.868
2009-07-10 04:59:00,M001,0.246
2009-07-10 05:00:00,M002,0.246
2009-07-10 05:01:00,M003,0.244
2009-07-10 05:02:00,M004,0.242
2009-07-10 05:03:00,M005,0.242
2009-07-10 05:04:00,M006,0.24
2009-07-10 05:05:00,M007,0.24
2009-07-10 05:06:00,M008,0.24
2009-07-10 05:07:00,M009,1.008
2009-07-10 05:08:00,M010,1.141
2009-07-10 05:09:00,M011,1.134
2009-07-10 05:10:00,M012,1.134
2009-07-10 05:11:00,M013,4.221
